[31456:31460:0530/174434.129:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[31456:31448:0530/174434.216:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[31456:31460:0530/174434.227:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[10048:28460:0530/174440.056:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-ECF5D2FC1491CEF498B508377FF1D6C8 will be ignored
[31456:31048:0530/200948.337:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=79})
[31456:31048:0530/200951.337:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=80})
[31456:31048:0530/200953.339:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=79})
[31456:31048:0530/200957.339:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=78})
[31456:31048:0530/200959.341:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=77})
[31456:31048:0530/201000.341:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=78})
[31456:31048:0530/201002.341:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=79})
[31456:31048:0530/201007.341:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=80})
[31456:31048:0530/201009.341:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=81})
[31456:31048:0530/201010.342:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=80})
[31456:31048:0530/201011.342:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=81})
[31456:31048:0530/201013.342:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=82})
[31456:31048:0530/201017.342:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=81})
[31456:31048:0530/201019.341:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=80})
[31456:31048:0530/201020.341:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=79})
[31456:31048:0530/201024.343:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=78})
[31456:31048:0530/201025.344:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=77})
[31456:31048:0530/201026.343:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=76})
[31456:31048:0530/201027.343:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=77})
[31456:31048:0530/201030.343:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=78})
[31456:31048:0530/201031.343:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=77})
[31456:31048:0530/201032.343:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=76})
[31456:31048:0530/201034.343:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=77})
[31456:31048:0530/201035.346:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=76})
[31456:31048:0530/201036.343:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=77})
[31456:31048:0530/201040.346:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=76})
